bydel,barnehage,spot_litenavdeling,spot_storavdeling,barnehage_url,address,latitude,longitude,match_score,matched_official_name,name_match_score,barnehagefakta_url
Stovner,Fossum barnehage,21,11,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/fossum-barnehage/,"Tante Ulrikkes vei 8, 0984 OSLO",59.959077996989,10.917449864205,1.0,Fossum barnehage,1.0000,https://barnehagefakta.no/barnehage/975291383/fossumenga-og-fossumhagen-barnehager
Stovner,Gullberget barnehage,9,2,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/gullberget-barnehage/,"Ellen Gleditsch&#039; vei 88, 0987 Oslo",59.967032862992,10.923212723454,1.0,Gullberget barnehage,1.0000,https://barnehagefakta.no/barnehage/991964118/gullberget-barnehage
Stovner,Haugen barnehage,10,6,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/haugen-barnehage/,"Garve Ytterborgsvei 87, 0977 Oslo",59.952846,10.907801,1.0,Haugen barnehage,1.0000,https://barnehagefakta.no/barnehage/975297837/haugen-barnehage
Stovner,Haugenstua barnehage,14,5,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/haugenstua-barnehage/,"Garver Ytteborgs vei 97, 0977 Oslo",59.95163188959,10.914369381419,1.0,Haugenstua barnehage,1.0000,https://barnehagefakta.no/barnehage/975291413/haugenstua-barnehage
Stovner,Haugenstua skoles barnehage,7,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/haugenstua-skoles-barnehage/,"Smiuvegen 257, 0981 Oslo",59.95424,10.920788,1.0,Haugenstua skoles barnehage,1.0000,https://barnehagefakta.no/barnehage/974722232/haugenstua-skoles-barnehage-ba
Stovner,Karen Aasumb,0,16,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/karen-aasumb-barnehage/,"Ellen Gleditsch&#039; vei 58, 0987 OSLO",59.967159853033,10.921894332599,0.97,Karen Aasumb barnehage,0.7216,https://barnehagefakta.no/barnehage/975316793/karen-aasumb-barnehage
Stovner,Nedre Fossum gård,12,12,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/nedre-fossum-gard-barnehage/,"Karl Fossums vei 1, 0984 Oslo",59.959549448744,10.920235477814,0.97,Nedre Fossum gård barnehage,0.7875,https://barnehagefakta.no/barnehage/991963170/nedre-fossum-gard-barnehage
Stovner,Ole Brumm barnehage,11,2,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/ole-brumm-barnehage/,"Ole Brumms vei 11, 0979 Oslo",59.951747813814,10.909469489081,1.0,Ole Brumm barnehage,1.0000,https://barnehagefakta.no/barnehage/975298078/ole-brumm-barnehage
Stovner,Smedstua gård barnehage,5,17,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/smedstua-gard-barnehage/,"Østre Aker vei 310, 0977 OSLO",59.954290269005,10.916241965373,1.0,Smedstua gård barnehage,1.0000,https://barnehagefakta.no/barnehage/975298183/smedstua-gard-barnehage
Stovner,Starveien barnehage,4,9,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/starveien-barnehage/,"Starveien 64, 1088 OSLO",59.942747094587,10.934802888019,1.0,Starveien barnehage,1.0000,https://barnehagefakta.no/barnehage/973501704/starveien-barnehage-sa
